"year_","country","zone_id","month_grouped","total_direct_carbon_emission","next_direct_carbon_emission","direct_decrease_or_increase","total_lca_carbon_emission","next_lca_carbon_emission","lca_decrease_or_increase","avg_renewable_percentage","avg_low_carbon_percentage"
"2021","Finland","FI","1","136519.85","125542.07","-8.04","167583.69","154360.57","-7.89","42.19","71.17"
"2021","Finland","FI","2","125542.07","105406.65","-16.04","154360.57","134611.70","-12.79","43.22","71.08"
"2021","Finland","FI","3","105406.65","83774.09","-20.52","134611.70","111078.94","-17.48","47.20","77.16"
"2021","Finland","FI","4","83774.09","80082.08","-4.41","111078.94","104754.45","-5.69","49.83","81.57"
"2021","Finland","FI","5","80082.08","57792.59","-27.83","104754.45","78149.68","-25.40","53.95","82.55"
"2021","Finland","FI","6","57792.59","40198.95","-30.44","78149.68","63516.72","-18.72","51.80","85.75"
"2021","Finland","FI","7","40198.95","73271.98","82.27","63516.72","93311.08","46.91","50.07","90.08"
"2021","Finland","FI","8","73271.98","96485.75","31.68","93311.08","119953.33","28.55","47.44","83.11"
"2021","Finland","FI","9","96485.75","81721.35","-15.30","119953.33","106325.88","-11.36","49.35","79.15"
"2021","Finland","FI","10","81721.35","92055.37","12.65","106325.88","118010.89","10.99","49.73","83.04"
"2021","Finland","FI","11","92055.37","139818.95","51.89","118010.89","170061.88","44.11","50.71","81.15"
"2021","Finland","FI","12","139818.95","0","0","170061.88","0","0","44.79","72.31"
"2022","Finland","FI","1","107982.49","93701.86","-13.22","132432.61","115750.47","-12.60","48.24","77.11"
"2022","Finland","FI","2","93701.86","96487.74","2.97","115750.47","119522.26","3.26","48.42","78.18"
"2022","Finland","FI","3","96487.74","88512.60","-8.27","119522.26","110597.02","-7.47","47.73","79.47"
"2022","Finland","FI","4","88512.60","69567.24","-21.40","110597.02","93714.07","-15.27","44.20","80.85"
"2022","Finland","FI","5","69567.24","31816.39","-54.27","93714.07","55288.32","-41.00","57.60","85.67"
"2022","Finland","FI","6","31816.39","23002.54","-27.70","55288.32","47675.77","-13.77","58.86","92.73"
"2022","Finland","FI","7","23002.54","30316.45","31.80","47675.77","56431.21","18.36","57.51","94.29"
"2022","Finland","FI","8","30316.45","37426.75","23.45","56431.21","62964.76","11.58","60.74","93.36"
"2022","Finland","FI","9","37426.75","46850.07","25.18","62964.76","74109.11","17.70","50.60","92.05"
"2022","Finland","FI","10","46850.07","74081.28","58.12","74109.11","106094.40","43.16","54.55","90.27"
"2022","Finland","FI","11","74081.28","99649.58","34.51","106094.40","135573.43","27.79","51.52","84.56"
"2022","Finland","FI","12","99649.58","0","0","135573.43","0","0","50.56","80.52"
"2023","Finland","FI","1","62967.10","58570.13","-6.98","90763.85","83704.12","-7.78","56.72","87.29"
"2023","Finland","FI","2","58570.13","60663.42","3.57","83704.12","86690.07","3.57","58.40","86.65"
"2023","Finland","FI","3","60663.42","37413.69","-38.33","86690.07","60734.40","-29.94","51.65","87.64"
"2023","Finland","FI","4","37413.69","21588.89","-42.30","60734.40","40822.61","-32.79","46.31","91.73"
"2023","Finland","FI","5","21588.89","15534.08","-28.05","40822.61","31203.18","-23.56","53.95","95.16"
"2023","Finland","FI","6","15534.08","12466.84","-19.75","31203.18","30353.91","-2.72","44.41","96.20"
"2023","Finland","FI","7","12466.84","26919.88","115.93","30353.91","47793.39","57.45","41.80","96.90"
"2023","Finland","FI","8","26919.88","15504.32","-42.41","47793.39","31316.94","-34.47","49.32","94.14"
"2023","Finland","FI","9","15504.32","21212.02","36.81","31316.94","40102.33","28.05","55.35","96.27"
"2023","Finland","FI","10","21212.02","42759.21","101.58","40102.33","65204.83","62.60","52.57","95.38"
"2023","Finland","FI","11","42759.21","51465.24","20.36","65204.83","75959.25","16.49","50.78","90.90"
"2023","Finland","FI","12","51465.24","0","0","75959.25","0","0","47.80","89.26"
"2024","Finland","FI","1","62967.10","58570.13","-6.98","90763.85","83704.12","-7.78","56.72","87.29"
"2024","Finland","FI","2","58570.13","60663.42","3.57","83704.12","86690.07","3.57","58.40","86.65"
"2024","Finland","FI","3","60663.42","37413.69","-38.33","86690.07","60734.40","-29.94","51.65","87.64"
"2024","Finland","FI","4","37413.69","21588.89","-42.30","60734.40","40822.61","-32.79","46.31","91.73"
"2024","Finland","FI","5","21588.89","15534.08","-28.05","40822.61","31203.18","-23.56","53.95","95.16"
"2024","Finland","FI","6","15534.08","12466.84","-19.75","31203.18","30353.91","-2.72","44.41","96.20"
"2024","Finland","FI","7","12466.84","26919.88","115.93","30353.91","47793.39","57.45","41.80","96.90"
"2024","Finland","FI","8","26919.88","15504.32","-42.41","47793.39","31316.94","-34.47","49.32","94.14"
"2024","Finland","FI","9","15504.32","21212.02","36.81","31316.94","40102.33","28.05","55.35","96.27"
"2024","Finland","FI","10","21212.02","42759.21","101.58","40102.33","65204.83","62.60","52.57","95.38"
"2024","Finland","FI","11","42759.21","51465.24","20.36","65204.83","75959.25","16.49","50.78","90.90"
"2024","Finland","FI","12","51465.24","0","0","75959.25","0","0","47.80","89.26"
